method,subset,layer_band,n_questions,mean_auc,mean_base,mean_ck8,mean_delta_ck8_minus_base,mean_slope_per_ckpt,mean_min_checkpoint_value,mean_mid_minus_late
TAR,forgotten,late,35,0.6054232878320747,0.8714285756008966,0.5271428644018513,-0.3442857111990453,-0.04303571389988066,0.3514285781979561,
TAR,forgotten,core_mid,35,0.6115632585202805,0.8841558481346476,0.5489177556935844,-0.3352380924410634,-0.041904761555132924,0.4190476254673747,
TAR,forgotten,mid_minus_late,35,,,,,,,0.006976345689718559
TAR,lucky,early,21,0.5873519838802399,0.6213151978797653,0.5809523871966772,-0.04036281068308826,-0.005045351335386032,0.5102040876742122,
TAR,lucky,mid,21,0.6162257564557589,0.8138188650294179,0.5486461324017254,-0.2651727326276923,-0.03314659157846154,0.40354809321943125,
TAR,lucky,late,21,0.6364638520217446,0.8130952424236707,0.5603174678981305,-0.25277777452554023,-0.03159722181569253,0.3813492135987395,
TAR,lucky,core_mid,21,0.6257495659655709,0.8337662377914823,0.5526695600319733,-0.28109667775950903,-0.03513708471993863,0.39740260444678277,
TAR,lucky,mid_minus_late,21,,,,,,,-0.020238095565985728
PB_J,retained,early,143,0.691175497331793,0.6911754971617585,0.6951715013661703,0.003996004204411851,0.0004995005255514814,0.6518148583072525,
PB_J,retained,mid,143,0.8102929796470333,0.8904977406973902,0.7633072860149728,-0.12719045468241724,-0.015898806835302155,0.6085835802143172,
PB_J,retained,late,143,0.8163882458925525,0.9231934759687711,0.780827510622623,-0.14236596534614798,-0.017795745668268498,0.513053620002278,
PB_J,retained,core_mid,143,0.8129076357012273,0.8951472800511581,0.7572790896596987,-0.13786819039145928,-0.01723352379893241,0.6030938825861937,
PB_J,retained,mid_minus_late,143,,,,,,,-0.006095266245519064
PB_J,suppressed,early,63,0.7696817053433599,0.7609977377920735,0.7631141401742862,0.0021164023822127075,0.00026455029777658844,0.7272864761536354,
PB_J,suppressed,mid,63,0.8158384389161987,0.9162776248962606,0.7591658944509275,-0.1571117304453329,-0.01963896630566661,0.5724245325301319,
PB_J,suppressed,late,63,0.8138741966645764,0.9341269865040741,0.7283068851819112,-0.20582010132216266,-0.025727512665270333,0.49920635731920365,
PB_J,suppressed,core_mid,63,0.8162257542867434,0.9257335284055569,0.755363161077059,-0.17037036732849797,-0.021296295916062247,0.5589225661444974,
PB_J,suppressed,mid_minus_late,63,,,,,,,0.0019642422516225515
PB_J,forgotten,early,54,0.6104840352772126,0.6086419817158785,0.6033509762987258,-0.005291005417152682,-0.0006613756771440852,0.5601410998553825,
PB_J,forgotten,mid,54,0.674017596433827,0.8615105336917511,0.46840959253004694,-0.3931009411617043,-0.04913761764521304,0.34865650552809885,
PB_J,forgotten,late,54,0.6600308702377133,0.8828703740128765,0.4285493900102598,-0.4543209840026166,-0.05679012300032708,0.22623457300166294,
PB_J,forgotten,core_mid,54,0.6768674456009559,0.874074077425581,0.46767677425936816,-0.4063973031662127,-0.05079966289577659,0.3379349104683808,
PB_J,forgotten,mid_minus_late,54,,,,,,,0.013986726196113498
PB_J,lucky,early,47,0.6699988820048774,0.6705167249162146,0.6650456007490766,-0.005471124167137957,-0.0006838905208922446,0.6200607986979209,
PB_J,lucky,mid,47,0.7329995887316975,0.9084689227153123,0.5362536580750581,-0.37221526464025423,-0.04652690808003178,0.4105965860794126,
PB_J,lucky,late,47,0.7251182086800994,0.9473404274976001,0.47429078717498074,-0.4730496403226193,-0.059131205040327414,0.2957446866530053,
PB_J,lucky,core_mid,47,0.7368436193750565,0.9173436524674327,0.5471308910178032,-0.3702127614496294,-0.046276595181203674,0.4005158030202817,
PB_J,lucky,mid_minus_late,47,,,,,,,0.00788138005159822
