method,subset,layer_band,question_idx,auc,base,ck8,delta_ck8_minus_base,slope_per_ckpt,min_checkpoint_value
RMU,retained,core_mid,554,0.9919191924008456,0.9757575772025369,0.9818181829019026,0.006060605699365729,0.0007575757124207161,0.9757575772025369
RMU,retained,core_mid,555,1.0,1.0,1.0,0.0,0.0,1.0
RMU,retained,core_mid,566,0.8572390605704954,0.9454545476219871,0.93939394029704,-0.006060607324947065,-0.0007575759156183831,0.6545454588803378
RMU,retained,core_mid,568,0.5461279539748874,0.9939393943006342,0.7212121286175468,-0.27272726568308736,-0.03409090821038592,0.28484849171205
RMU,retained,core_mid,577,0.8612794656344134,0.969696971503171,0.7696969763799146,-0.1999999951232564,-0.02499999939040705,0.7393939473412253
RMU,retained,core_mid,587,0.8202020256206244,0.9272727310657501,0.6000000086697665,-0.3272727223959836,-0.04090909029949795,0.5333333416418596
RMU,retained,core_mid,600,0.9979797981002113,0.9939393943006342,1.0,0.00606060569936584,0.00075757571242073,0.9939393943006342
RMU,retained,core_mid,605,0.9582491589917077,1.0,0.9939393943006342,-0.00606060569936584,-0.00075757571242073,0.8181818203492598
RMU,retained,core_mid,617,0.9710437720472161,0.9939393943006342,0.9939393943006342,0.0,0.0,0.8424242463978854
RMU,retained,core_mid,641,0.6134680244657729,0.7575757649811831,0.6303030436689204,-0.12727272131226264,-0.01590909016403283,0.5151515267112038
RMU,retained,core_mid,649,0.9346801363458537,1.0,0.8727272759784351,-0.12727272402156486,-0.015909090502695608,0.8060606105761093
RMU,retained,core_mid,678,0.853872056561287,1.0,0.7575757590207186,-0.2424242409792814,-0.030303030122410174,0.7212121269919656
RMU,retained,core_mid,681,0.9562289576939862,1.0,0.9818181829019026,-0.018181817098097408,-0.002272727137262176,0.8303030360828746
RMU,retained,core_mid,693,0.610774419524453,0.8909090941602534,0.3818181904879483,-0.5090909036723051,-0.06363636295903814,0.34545455249873075
RMU,retained,core_mid,696,0.7845117924791394,1.0,0.5636363804340362,-0.4363636195659638,-0.054545452445745476,0.38181819265538997
RMU,retained,core_mid,704,0.9542087559748178,0.9939393943006342,0.872727277062156,-0.12121211723847813,-0.015151514654809767,0.8424242469397458
RMU,retained,core_mid,707,0.9925925930341085,1.0,0.9939393943006342,-0.00606060569936584,-0.00075757571242073,0.9636363658038053
RMU,retained,core_mid,712,0.5831649920555075,0.8060606105761093,0.5757575826211409,-0.2303030279549685,-0.02878787849437106,0.38787879889661614
RMU,retained,core_mid,720,0.7629629667961235,0.9030303071845661,0.3757575799118389,-0.5272727272727272,-0.0659090909090909,0.3757575799118389
RMU,retained,core_mid,730,0.9629629636653747,1.0,0.9757575761188161,-0.024242423881183917,-0.0030303029851479896,0.903030304475264
RMU,retained,core_mid,732,0.8666666708811365,0.9151515202088789,0.7030303109775891,-0.21212120923128985,-0.02651515115391123,0.7030303109775891
