method,subset,layer_band,quadrant,count,fraction
RepNoise,suppressed,full,frozen_low_retrained_high,5,0.027932960893854747
RepNoise,suppressed,full,frozen_low_retrained_low,7,0.03910614525139665
RepNoise,suppressed,late,frozen_high_retrained_high,141,0.7877094972067039
RepNoise,suppressed,late,frozen_high_retrained_low,26,0.1452513966480447
RepNoise,suppressed,late,frozen_low_retrained_high,4,0.0223463687150838
RepNoise,suppressed,late,frozen_low_retrained_low,8,0.0446927374301676
RepNoise,suppressed,mid,frozen_high_retrained_high,141,0.7877094972067039
RepNoise,suppressed,mid,frozen_high_retrained_low,26,0.1452513966480447
RepNoise,suppressed,mid,frozen_low_retrained_high,5,0.027932960893854747
RepNoise,suppressed,mid,frozen_low_retrained_low,7,0.03910614525139665
TAR,forgotten,full,frozen_high_retrained_high,11,0.11702127659574468
TAR,forgotten,full,frozen_high_retrained_low,5,0.05319148936170213
TAR,forgotten,full,frozen_low_retrained_high,27,0.2872340425531915
TAR,forgotten,full,frozen_low_retrained_low,51,0.5425531914893617
TAR,forgotten,late,frozen_high_retrained_high,12,0.1276595744680851
TAR,forgotten,late,frozen_high_retrained_low,4,0.0425531914893617
TAR,forgotten,late,frozen_low_retrained_high,23,0.24468085106382978
TAR,forgotten,late,frozen_low_retrained_low,55,0.5851063829787234
TAR,forgotten,mid,frozen_high_retrained_high,9,0.09574468085106383
TAR,forgotten,mid,frozen_high_retrained_low,7,0.07446808510638298
TAR,forgotten,mid,frozen_low_retrained_high,28,0.2978723404255319
TAR,forgotten,mid,frozen_low_retrained_low,50,0.5319148936170213
TAR,lucky,full,frozen_high_retrained_high,15,0.22058823529411764
TAR,lucky,full,frozen_high_retrained_low,9,0.1323529411764706
TAR,lucky,full,frozen_low_retrained_high,18,0.2647058823529412
TAR,lucky,full,frozen_low_retrained_low,26,0.38235294117647056
TAR,lucky,late,frozen_high_retrained_high,18,0.2647058823529412
TAR,lucky,late,frozen_high_retrained_low,6,0.08823529411764706
TAR,lucky,late,frozen_low_retrained_high,17,0.25
TAR,lucky,late,frozen_low_retrained_low,27,0.39705882352941174
TAR,lucky,mid,frozen_high_retrained_high,15,0.22058823529411764
TAR,lucky,mid,frozen_high_retrained_low,9,0.1323529411764706
TAR,lucky,mid,frozen_low_retrained_high,18,0.2647058823529412
TAR,lucky,mid,frozen_low_retrained_low,26,0.38235294117647056
TAR,retained,full,frozen_high_retrained_high,208,0.8253968253968254
TAR,retained,full,frozen_high_retrained_low,24,0.09523809523809523
TAR,retained,full,frozen_low_retrained_high,13,0.051587301587301584
TAR,retained,full,frozen_low_retrained_low,7,0.027777777777777776
TAR,retained,late,frozen_high_retrained_high,201,0.7976190476190477
TAR,retained,late,frozen_high_retrained_low,31,0.12301587301587301
TAR,retained,late,frozen_low_retrained_high,12,0.047619047619047616
TAR,retained,late,frozen_low_retrained_low,8,0.031746031746031744
TAR,retained,mid,frozen_high_retrained_high,201,0.7976190476190477
TAR,retained,mid,frozen_high_retrained_low,31,0.12301587301587301
TAR,retained,mid,frozen_low_retrained_high,12,0.047619047619047616
TAR,retained,mid,frozen_low_retrained_low,8,0.031746031746031744
TAR,suppressed,full,frozen_high_retrained_high,122,0.7672955974842768
TAR,suppressed,full,frozen_high_retrained_low,15,0.09433962264150944
TAR,suppressed,full,frozen_low_retrained_high,11,0.06918238993710692
TAR,suppressed,full,frozen_low_retrained_low,11,0.06918238993710692
TAR,suppressed,late,frozen_high_retrained_high,122,0.7672955974842768
TAR,suppressed,late,frozen_high_retrained_low,15,0.09433962264150944
TAR,suppressed,late,frozen_low_retrained_high,12,0.07547169811320754
TAR,suppressed,late,frozen_low_retrained_low,10,0.06289308176100629
TAR,suppressed,mid,frozen_high_retrained_high,114,0.7169811320754716
TAR,suppressed,mid,frozen_high_retrained_low,23,0.14465408805031446
TAR,suppressed,mid,frozen_low_retrained_high,13,0.08176100628930817
TAR,suppressed,mid,frozen_low_retrained_low,9,0.05660377358490566
