method,ck,clf,layer,mean_accuracy,std_accuracy,ci95_accuracy,mean_true_accuracy,std_true_accuracy,ci95_true_accuracy,mean_false_accuracy,std_false_accuracy,ci95_false_accuracy,mean_precision,std_precision,ci95_precision,mean_recall,std_recall,ci95_recall,mean_f1,std_f1,ci95_f1,mean_auc,std_auc,ci95_auc
RMU,1,LR,5,0.5618110236220473,0.01411844179294573,0.019599539304522105,0.5669291338582678,0.034140918722328835,0.04739519333678289,0.5566929133858267,0.028455607873374283,0.03950271659772898,0.561187637597895,0.014010581882058866,0.019449805743707648,0.5669291338582678,0.034140918722328835,0.04739519333678289,0.5636115468048908,0.02083087497573019,0.028917890431676703,0.5905573811147622,0.008792065739140646,0.012205343943007157
RMU,1,LR,6,0.5787401574803149,0.012006260379509385,0.016667361431209553,0.5748031496062992,0.017070459361164414,0.023697596668391437,0.5826771653543308,0.032273860680187734,0.04480330125567146,0.5798785379605004,0.014251420758498154,0.01978414370352325,0.5748031496062992,0.017070459361164414,0.023697596668391437,0.5770416973051797,0.008993067597481998,0.012484379255870912,0.5960970921941844,0.00820245706852151,0.011386835889245816
RMU,1,LR,7,0.5759842519685039,0.018658260804839052,0.02590181844154966,0.5834645669291338,0.018365202818410396,0.025494988735570177,0.5685039370078739,0.027570301417341108,0.038273714209502326,0.5751183816063825,0.01916226378562362,0.02660148674605187,0.5834645669291338,0.018365202818410396,0.025494988735570177,0.5791524441497986,0.017060609113801323,0.02368392233285332,0.6048422096844194,0.017066025451045467,0.02369144141436812
RMU,1,LR,8,0.5846456692913385,0.009562958898811915,0.013275515212907037,0.6015748031496063,0.004591300704602591,0.006373747183892533,0.5677165354330709,0.015826575781292714,0.021970809430006087,0.5819935583829193,0.010148118680100187,0.014087847218165256,0.6015748031496063,0.004591300704602591,0.006373747183892533,0.591597990892297,0.007075474538819417,0.009822333325128411,0.6157573315146629,0.014233834344523973,0.01975972984702495
RMU,1,LR,9,0.5830708661417322,0.016299402790932657,0.02262719854826616,0.6047244094488189,0.03318316142630783,0.046065613058530394,0.5614173228346456,0.027794271802713075,0.038584634949589955,0.579679817599,0.015696752725113124,0.02179058613557027,0.6047244094488189,0.03318316142630783,0.046065613058530394,0.5915703621588829,0.020569599420129134,0.028555181812948506,0.6186589373178747,0.010816030473588405,0.015015057433032377
RMU,1,LR,10,0.5901574803149605,0.014699334411491734,0.02040594753822589,0.5905511811023623,0.01928732080931638,0.026775093726703055,0.5897637795275591,0.02059322335531028,0.028587977092548098,0.5901766987303292,0.015096204960708896,0.020956892185111473,0.5905511811023623,0.01928732080931638,0.026775093726703055,0.5902574368335058,0.015384291961226149,0.02135682105634009,0.6198958397916796,0.014006593043199718,0.0194442683476447
RMU,1,LR,11,0.5905511811023622,0.010781940108369432,0.014967732419209066,0.5889763779527559,0.02790558290814071,0.03873915953649931,0.5921259842519685,0.014856663200089161,0.02062435491072991,0.5907046277508338,0.008624855153456694,0.011973218436927424,0.5889763779527559,0.02790558290814071,0.03873915953649931,0.5896084452429695,0.01704763313494384,0.023665908786361316,0.6178033356066712,0.008916710742790967,0.012378378948143304
RMU,1,LR,12,0.5960629921259842,0.02228499480013371,0.03093653236609482,0.5992125984251968,0.04308461108757309,0.05981102878172155,0.5929133858267717,0.021792681107241023,0.03025309139466794,0.5950601867473623,0.01873606506928584,0.026009828076143063,0.5992125984251968,0.04308461108757309,0.05981102878172155,0.596728341605613,0.02901778675848165,0.040283146004629934,0.6220348440696881,0.013122408632935711,0.018216823608659848
RMU,1,LR,13,0.5830708661417322,0.010068277049247587,0.013977009265579399,0.5826771653543308,0.022131447752055427,0.030723374891067554,0.5834645669291338,0.033350895408736,0.046298465155774404,0.5836988152000949,0.013585455581601978,0.018859635825710465,0.5826771653543308,0.022131447752055427,0.030723374891067554,0.5827740786855654,0.00947158741218879,0.013148671254512327,0.6163742327484655,0.009186929960459663,0.012753503360256616
RMU,1,LR,14,0.5763779527559054,0.010882106268571046,0.01510678534180818,0.5661417322834646,0.025804676548305403,0.03582263394687748,0.5866141732283465,0.03069856486554004,0.04261644007876288,0.5783496512657209,0.01324965523949808,0.018393470217631405,0.5661417322834646,0.025804676548305403,0.03582263394687748,0.5717722215001196,0.013677146628221795,0.018986923404499485,0.6188263376526753,0.007169030933104776,0.00995221042161518
RMU,1,LR,15,0.5996062992125983,0.012793761267143273,0.017760587923614565,0.594488188976378,0.032939371123388794,0.045727177861913264,0.6047244094488189,0.020623308431037473,0.028629741873169245,0.6005475066022323,0.011615109601501222,0.016124357099712015,0.594488188976378,0.032939371123388794,0.045727177861913264,0.5971412115131978,0.019947194142736935,0.027691144770016083,0.6271808543617088,0.006783351936562791,0.009416802140551885
RMU,1,LR,16,0.5937007874015748,0.019787136808077272,0.02746894956833267,0.5866141732283465,0.03512552444597709,0.04876204520776935,0.6007874015748031,0.03233144120889418,0.044883235844212326,0.5952619834058701,0.021075048268899176,0.029256857303996225,0.5866141732283465,0.03512552444597709,0.04876204520776935,0.590454109761688,0.023655700369055756,0.0328393767498453,0.6238731477462954,0.01497950582567668,0.020794887813990966
RMU,1,LR,17,0.5885826771653543,0.02038138441818077,0.02829389750250634,0.5874015748031496,0.04587247768072286,0.06368120805996913,0.5897637795275591,0.024949574043708445,0.034635561365212175,0.5883489921567879,0.017731344853597182,0.024615052813672038,0.5874015748031496,0.04587247768072286,0.06368120805996913,0.5873149662390862,0.030256406514824037,0.04200262588447899,0.6142538285076571,0.013572623718490126,0.018841822343946723
RMU,1,LR,18,0.5854330708661417,0.011177220131164116,0.015516469061444452,0.5692913385826771,0.034466249808250866,0.04784682528732134,0.6015748031496063,0.020892124663656062,0.029002918629795038,0.5881501494579859,0.009127224801281373,0.01267061931177881,0.5692913385826771,0.034466249808250866,0.04784682528732134,0.5781351586564648,0.020465220515046206,0.028410280662896806,0.6153171306342613,0.015831365934990863,0.021977459229400278
RMU,1,LR,19,0.5838582677165354,0.016261320022097157,0.022574331189703305,0.5818897637795275,0.023411131885540955,0.03249986126537515,0.5858267716535434,0.02788335623563113,0.03870830396845228,0.5844357691175442,0.016903954395250807,0.02346645071959046,0.5818897637795275,0.023411131885540955,0.03249986126537515,0.5829248248635309,0.01692641738617746,0.023497634350193666,0.6173755347510695,0.01797779526424744,0.02495718083183399
