fold,model,probe_type,clf,n_train,n_val,n_test,best_layer,accuracy,true_accuracy,false_accuracy,precision,recall,f1,auc,tp,fn,tn,fp,n_total
2,base,avg_ensemble,AdaBoost,1524,508,508,,0.655511811023622,0.6496062992125984,0.6614173228346457,0.6573705179282868,0.6496062992125984,0.6534653465346535,0.7436759873519747,165,89,168,86,508
3,base,per_layer,LR,1524,508,508,21,0.6614173228346457,0.6299212598425197,0.6929133858267716,0.6722689075630253,0.6299212598425197,0.6504065040650406,0.712009424018848,160,94,176,78,508
3,base,per_layer,RF,1524,508,508,19,0.6299212598425197,0.6338582677165354,0.6259842519685039,0.62890625,0.6338582677165354,0.6313725490196078,0.7034224068448137,161,93,159,95,508
3,base,per_layer,AdaBoost,1524,508,508,19,0.6043307086614174,0.6496062992125984,0.5590551181102362,0.5956678700361011,0.6496062992125984,0.6214689265536724,0.6483895467790936,165,89,142,112,508
3,base,mid_band,LR,1524,508,508,,0.6673228346456693,0.6732283464566929,0.6614173228346457,0.6653696498054474,0.6732283464566929,0.6692759295499021,0.73498046996094,171,83,168,86,508
3,base,mid_band,RF,1524,508,508,,0.6141732283464567,0.6220472440944882,0.6062992125984252,0.6124031007751938,0.6220472440944882,0.6171875,0.669492838985678,158,96,154,100,508
3,base,mid_band,AdaBoost,1524,508,508,,0.6141732283464567,0.6259842519685039,0.6023622047244095,0.6115384615384616,0.6259842519685039,0.6186770428015564,0.6630913261826524,159,95,153,101,508
3,base,full_layer,LR,1524,508,508,,0.6515748031496063,0.6850393700787402,0.6181102362204725,0.6420664206642066,0.6850393700787402,0.6628571428571428,0.7236034472068944,174,80,157,97,508
3,base,full_layer,RF,1524,508,508,,0.6259842519685039,0.6535433070866141,0.5984251968503937,0.6194029850746269,0.6535433070866141,0.6360153256704981,0.6727090954181908,166,88,152,102,508
3,base,full_layer,AdaBoost,1524,508,508,,0.6200787401574803,0.6299212598425197,0.610236220472441,0.6177606177606177,0.6299212598425197,0.6237816764132553,0.6663308326616653,160,94,155,99,508
3,base,init_band,LR,1524,508,508,,0.5826771653543307,0.5866141732283464,0.5787401574803149,0.58203125,0.5866141732283464,0.5843137254901961,0.6166997333994668,149,105,147,107,508
3,base,init_band,RF,1524,508,508,,0.5098425196850394,0.47244094488188976,0.547244094488189,0.5106382978723404,0.47244094488188976,0.49079754601226994,0.5463528427056855,120,134,139,115,508
3,base,init_band,AdaBoost,1524,508,508,,0.5374015748031497,0.5433070866141733,0.531496062992126,0.5369649805447471,0.5433070866141733,0.5401174168297456,0.549011098022196,138,116,135,119,508
3,base,init_band_emb,LR,1524,508,508,,0.5826771653543307,0.5866141732283464,0.5787401574803149,0.58203125,0.5866141732283464,0.5843137254901961,0.6167152334304669,149,105,147,107,508
3,base,init_band_emb,RF,1524,508,508,,0.5295275590551181,0.48031496062992124,0.5787401574803149,0.5327510917030568,0.48031496062992124,0.505175983436853,0.5478098456196913,122,132,147,107,508
3,base,init_band_emb,AdaBoost,1524,508,508,,0.5433070866141733,0.531496062992126,0.5551181102362205,0.5443548387096774,0.531496062992126,0.5378486055776892,0.5663556327112653,135,119,141,113,508
3,base,end_band,LR,1524,508,508,,0.6594488188976378,0.6535433070866141,0.6653543307086615,0.6613545816733067,0.6535433070866141,0.6574257425742575,0.7257269514539029,166,88,169,85,508
3,base,end_band,RF,1524,508,508,,0.6023622047244095,0.5905511811023622,0.6141732283464567,0.6048387096774194,0.5905511811023622,0.5976095617529881,0.6657263314526629,150,104,156,98,508
