method,ck,fold,clf,layer,accuracy,true_accuracy,false_accuracy,precision,recall,f1,auc
RepNoise,1,3,RF,4,0.5590551181102362,0.5118110236220472,0.6062992125984252,0.5652173913043478,0.5118110236220472,0.5371900826446281,0.5934109368218736
RepNoise,1,3,RF,5,0.5374015748031497,0.4881889763779528,0.5866141732283464,0.5414847161572053,0.4881889763779528,0.5134575569358178,0.5969371938743877
RepNoise,1,3,RF,6,0.5511811023622047,0.4881889763779528,0.6141732283464567,0.5585585585585585,0.4881889763779528,0.5210084033613446,0.5907526815053631
RepNoise,1,3,RF,7,0.5807086614173228,0.5275590551181102,0.6338582677165354,0.5903083700440529,0.5275590551181102,0.5571725571725572,0.5937364374728749
RepNoise,1,3,RF,8,0.562992125984252,0.531496062992126,0.594488188976378,0.5672268907563025,0.531496062992126,0.5487804878048781,0.597727695455391
RepNoise,1,3,RF,9,0.5787401574803149,0.531496062992126,0.6259842519685039,0.5869565217391305,0.531496062992126,0.5578512396694215,0.6059272118544237
RepNoise,1,3,RF,10,0.5807086614173228,0.5236220472440944,0.6377952755905512,0.5911111111111111,0.5236220472440944,0.5553235908141962,0.6170329840659682
RepNoise,1,3,RF,11,0.5866141732283464,0.5236220472440944,0.6496062992125984,0.5990990990990991,0.5236220472440944,0.5588235294117647,0.6414377828755657
RepNoise,1,3,RF,12,0.5984251968503937,0.531496062992126,0.6653543307086615,0.6136363636363636,0.531496062992126,0.569620253164557,0.6301382602765206
RepNoise,1,3,RF,13,0.5885826771653543,0.5196850393700787,0.65748031496063,0.6027397260273972,0.5196850393700787,0.5581395348837209,0.648761547523095
RepNoise,1,3,RF,14,0.6259842519685039,0.5905511811023622,0.6614173228346457,0.635593220338983,0.5905511811023622,0.6122448979591837,0.6858453716907433
RepNoise,1,3,RF,15,0.6122047244094488,0.562992125984252,0.6614173228346457,0.6244541484716157,0.562992125984252,0.5921325051759835,0.6503968007936015
RepNoise,1,3,RF,16,0.6299212598425197,0.5748031496062992,0.6850393700787402,0.6460176991150443,0.5748031496062992,0.6083333333333333,0.7039571579143159
RepNoise,1,3,RF,17,0.6240157480314961,0.5826771653543307,0.6653543307086615,0.6351931330472103,0.5826771653543307,0.6078028747433265,0.6972843945687892
RepNoise,1,3,RF,18,0.6437007874015748,0.6062992125984252,0.6811023622047244,0.6553191489361702,0.6062992125984252,0.6298568507157464,0.7038641577283155
RepNoise,1,3,RF,19,0.6437007874015748,0.6417322834645669,0.6456692913385826,0.6442687747035574,0.6417322834645669,0.6429980276134122,0.7075376650753302
RepNoise,1,3,RF,20,0.6318897637795275,0.6023622047244095,0.6614173228346457,0.6401673640167364,0.6023622047244095,0.6206896551724138,0.702236654473309
RepNoise,1,3,RF,21,0.639763779527559,0.6338582677165354,0.6456692913385826,0.6414342629482072,0.6338582677165354,0.6376237623762376,0.6929056358112717
RepNoise,1,3,RF,22,0.6220472440944882,0.5984251968503937,0.6456692913385826,0.628099173553719,0.5984251968503937,0.6129032258064516,0.6926576353152706
RepNoise,1,3,RF,23,0.6259842519685039,0.5984251968503937,0.6535433070866141,0.6333333333333333,0.5984251968503937,0.6153846153846154,0.7015314030628061
RepNoise,1,3,RF,24,0.6535433070866141,0.6338582677165354,0.6732283464566929,0.6598360655737705,0.6338582677165354,0.6465863453815262,0.7185116870233741
RepNoise,1,3,RF,25,0.6279527559055118,0.6417322834645669,0.6141732283464567,0.6245210727969349,0.6417322834645669,0.6330097087378641,0.7016399032798065
RepNoise,1,3,RF,26,0.6358267716535433,0.6377952755905512,0.6338582677165354,0.6352941176470588,0.6377952755905512,0.6365422396856582,0.696005642011284
RepNoise,1,3,RF,27,0.6338582677165354,0.6023622047244095,0.6653543307086615,0.6428571428571429,0.6023622047244095,0.6219512195121951,0.7006556513113026
