model,clf,layer,mean_accuracy,std_accuracy,ci95_accuracy,mean_true_accuracy,std_true_accuracy,ci95_true_accuracy,mean_false_accuracy,std_false_accuracy,ci95_false_accuracy,mean_precision,std_precision,ci95_precision,mean_recall,std_recall,ci95_recall,mean_f1,std_f1,ci95_f1,mean_auc,std_auc,ci95_auc
GradDiff,RF,16,0.5543307086614173,0.017589218821802075,0.024417750251022684,0.5070866141732283,0.024320386159811823,0.033762108554964906,0.6015748031496063,0.04900902777825334,0.0680354376427172,0.5614635360809362,0.02415384970462157,0.03353091889203993,0.5070866141732283,0.024320386159811823,0.033762108554964906,0.5321316533826802,0.012770795488956115,0.017728706312397167,0.5764384028768057,0.020003122403715507,0.02776878564323417
GradDiff,RF,17,0.5507874015748031,0.011437668540420413,0.015878029416962553,0.5125984251968504,0.020136554098495168,0.027954018531158784,0.5889763779527559,0.03544181869268313,0.04920113201430397,0.5556848844050968,0.015436670583554751,0.021429534241130716,0.5125984251968504,0.020136554098495168,0.027954018531158784,0.5328303289352799,0.009626113467524278,0.013363187809493195,0.5799104098208197,0.016848191466596267,0.023389039364433265
GradDiff,RF,18,0.5519685039370079,0.009199465705155828,0.012770905763757456,0.5062992125984251,0.02472491097339779,0.03432367902427082,0.5976377952755906,0.038686987390671626,0.053706148387839596,0.5579915978408966,0.013132013191131912,0.01823015687295556,0.5062992125984251,0.02472491097339779,0.03432367902427082,0.5302718396387258,0.009861023680594036,0.013689295465112444,0.5734096968193938,0.016270687828118045,0.022587335789289877
GradDiff,RF,19,0.5350393700787401,0.023037383997366614,0.03198101601802532,0.4937007874015748,0.023700656603610117,0.0329017860085336,0.5763779527559055,0.04163560335874733,0.05779948357367553,0.5390568855307918,0.0264098922636544,0.036662808052112236,0.4937007874015748,0.023700656603610117,0.0329017860085336,0.5149882403369113,0.02026573976006067,0.028133356980016427,0.5555133610267221,0.01973538791715493,0.02739711059088229
GradDiff,RF,20,0.5476377952755905,0.005623171990978611,0.007806214175018964,0.5165354330708661,0.040717113303457966,0.05652441496458502,0.5787401574803149,0.04061038412040198,0.05637625110564624,0.5511536723692829,0.007541383154629866,0.010469118173046611,0.5165354330708661,0.040717113303457966,0.05652441496458502,0.5323439906195426,0.019428160985892035,0.02697061123613739,0.563285076570153,0.014976637681162211,0.020790906191091862
GradDiff,RF,21,0.5417322834645669,0.016299402790932647,0.022627198548266142,0.5039370078740157,0.03667973133496729,0.050919630262470116,0.5795275590551181,0.033536282581176136,0.04655582380951834,0.5452552998770125,0.01722158131752568,0.02390738757640502,0.5039370078740157,0.03667973133496729,0.050919630262470116,0.5231776866781288,0.023703204248977393,0.03290532270728847,0.5650133300266601,0.01546050621238037,0.021462623398621816
GradDiff,RF,22,0.5401574803149607,0.016069552466109114,0.02230811514362393,0.49763779527559054,0.051549251349080026,0.07156183329238212,0.5826771653543308,0.041216542766306784,0.05721773420834409,0.5437018153552652,0.016544965244025323,0.022968093883720904,0.49763779527559054,0.051549251349080026,0.07156183329238212,0.5184769583170047,0.031796217480157624,0.044140226193294156,0.561249922499845,0.017945727045878858,0.024912663007873054
GradDiff,RF,23,0.5200787401574802,0.01196746783745723,0.016613508749460104,0.46771653543307085,0.005786196242794899,0.008032528118010895,0.5724409448818897,0.02642198698513781,0.0366795982172429,0.5228658607040471,0.014115030478178598,0.019594803640428357,0.46771653543307085,0.005786196242794899,0.008032528118010895,0.4936199661675621,0.00602944151914033,0.008370206696446773,0.5437937875875752,0.017725974918872255,0.02460759814918091
GradDiff,RF,24,0.5421259842519686,0.01082498195658858,0.015027484083612423,0.511023622047244,0.0326937629795696,0.045386219097561506,0.5732283464566928,0.033647024597199184,0.04670955837368181,0.5452063171090243,0.012544303267556551,0.01741428470266207,0.511023622047244,0.0326937629795696,0.045386219097561506,0.5269556614251811,0.018131030303259642,0.025169905168839095,0.5525947051894105,0.01661392613529576,0.02306382694822984
GradDiff,RF,25,0.5460629921259843,0.00961146111475093,0.0133428470829246,0.5385826771653542,0.032119807959639576,0.0445894417947173,0.5535433070866141,0.03698273564036969,0.051340267672764305,0.5471216077359484,0.010903003231435978,0.015135794976938103,0.5385826771653542,0.032119807959639576,0.0445894417947173,0.5422172313441224,0.015903391399501653,0.022077446603595566,0.5485770971541942,0.014431630969403865,0.02003431558251116
GradDiff,RF,26,0.5409448818897638,0.016535433070866162,0.022954861105966083,0.5078740157480315,0.02362204724409449,0.032792658722808656,0.574015748031496,0.031338186995484074,0.04350437794469253,0.5442010657663939,0.018676487673340025,0.025927121391465968,0.5078740157480315,0.02362204724409449,0.032792658722808656,0.5251059587454167,0.017449533168593948,0.02422383547696465,0.5546624093248187,0.014956316687264302,0.020762696129071563
GradDiff,RF,27,0.5330708661417323,0.015914474749139977,0.022092832759521824,0.5086614173228347,0.029608812089705765,0.04110362069859249,0.5574803149606299,0.03821940503783181,0.0530570400204301,0.5351923756910697,0.01756178723523908,0.024379669103902366,0.5086614173228347,0.029608812089705765,0.04110362069859249,0.5210754725719122,0.018876909102430686,0.026205350939353726,0.5521560543121086,0.012115438781564694,0.01681892535119944
GradDiff,RF,28,0.5437007874015748,0.012720861749136602,0.017659387168644115,0.5031496062992126,0.02897381022515607,0.04022209678928224,0.584251968503937,0.017536265709700877,0.0243442395465735,0.5473500206032664,0.012464520987741468,0.017303529142525014,0.5031496062992126,0.02897381022515607,0.04022209678928224,0.5240617997257783,0.02003776246413057,0.027816873756325747,0.5548840597681195,0.012188287915119788,0.016920056161337908
GradDiff,RF,29,0.5381889763779527,0.022705308433537352,0.03152002123115054,0.5031496062992126,0.02743504155934543,0.0380859434241714,0.5732283464566928,0.04812821036200354,0.06681266704075735,0.5422872261683253,0.028190192300381757,0.0391342607134898,0.5031496062992126,0.02743504155934543,0.0380859434241714,0.5213309132631133,0.020083416536644527,0.02788025176940761,0.5495659991319983,0.020666307992078213,0.028689434833557854
GradDiff,RF,30,0.5409448818897638,0.003817070753871118,0.0052989437053895675,0.515748031496063,0.04225640272440547,0.05866129125372124,0.5661417322834645,0.03963689117686053,0.055024826246626114,0.5433249786879127,0.004402471900904989,0.006111610780019253,0.515748031496063,0.04225640272440547,0.05866129125372124,0.5281701169447186,0.02208233849231257,0.030655200309151084,0.5502945005890012,0.00859575681443141,0.011932823466449355
