method,ck,fold,probe_type,clf,n_train,n_val,n_test,best_layer,accuracy,true_accuracy,false_accuracy,precision,recall,f1,auc,tp,fn,tn,fp,n_total
GradDiff,1,1,init_band_emb,LR,1524,508,508,,0.6259842519685039,0.6299212598425197,0.6220472440944882,0.625,0.6299212598425197,0.6274509803921569,0.6546438092876186,160,94,158,96,508
GradDiff,1,1,init_band_emb,RF,1524,508,508,,0.5767716535433071,0.5354330708661418,0.6181102362204725,0.5836909871244635,0.5354330708661418,0.5585215605749486,0.5968751937503876,136,118,157,97,508
GradDiff,1,1,init_band_emb,AdaBoost,1524,508,508,,0.5767716535433071,0.5275590551181102,0.6259842519685039,0.5851528384279476,0.5275590551181102,0.5548654244306418,0.6099572199144399,134,120,159,95,508
GradDiff,1,1,end_band,LR,1524,508,508,,0.6692913385826772,0.7047244094488189,0.6338582677165354,0.6580882352941176,0.7047244094488189,0.6806083650190115,0.7211079422158844,179,75,161,93,508
GradDiff,1,1,end_band,RF,1524,508,508,,0.5826771653543307,0.6181102362204725,0.547244094488189,0.5772058823529411,0.6181102362204725,0.596958174904943,0.627239754479509,157,97,139,115,508
GradDiff,1,1,end_band,AdaBoost,1524,508,508,,0.5846456692913385,0.6259842519685039,0.5433070866141733,0.5781818181818181,0.6259842519685039,0.6011342155009451,0.6398102796205593,159,95,138,116,508
GradDiff,1,1,ib_no_pca,LR,1524,508,508,,0.5866141732283464,0.5905511811023622,0.5826771653543307,0.5859375,0.5905511811023622,0.5882352941176471,0.6042222084444169,150,104,148,106,508
GradDiff,1,1,ib_no_pca,RF,1524,508,508,,0.5708661417322834,0.5393700787401575,0.6023622047244095,0.5756302521008403,0.5393700787401575,0.556910569105691,0.6008354516709034,137,117,153,101,508
GradDiff,1,1,ib_no_pca,AdaBoost,1524,508,508,,0.5669291338582677,0.5669291338582677,0.5669291338582677,0.5669291338582677,0.5669291338582677,0.5669291338582677,0.5840644181288364,144,110,144,110,508
GradDiff,1,1,vote_ensemble,LR,1524,508,508,,0.6476377952755905,0.6653543307086615,0.6299212598425197,0.6425855513307985,0.6653543307086615,0.6537717601547389,,169,85,160,94,508
GradDiff,1,1,vote_ensemble,RF,1524,508,508,,0.6476377952755905,0.6220472440944882,0.6732283464566929,0.6556016597510373,0.6220472440944882,0.6383838383838384,,158,96,171,83,508
GradDiff,1,1,vote_ensemble,AdaBoost,1524,508,508,,0.6771653543307087,0.6968503937007874,0.65748031496063,0.6704545454545454,0.6968503937007874,0.6833976833976834,,177,77,167,87,508
GradDiff,1,1,avg_ensemble,LR,1524,508,508,,0.6496062992125984,0.6653543307086615,0.6338582677165354,0.6450381679389313,0.6653543307086615,0.6550387596899225,0.7146909293818589,169,85,161,93,508
GradDiff,1,1,avg_ensemble,RF,1524,508,508,,0.6614173228346457,0.6535433070866141,0.6692913385826772,0.664,0.6535433070866141,0.6587301587301587,0.6966488932977866,166,88,170,84,508
GradDiff,1,1,avg_ensemble,AdaBoost,1524,508,508,,0.6771653543307087,0.6968503937007874,0.65748031496063,0.6704545454545454,0.6968503937007874,0.6833976833976834,0.7264554529109059,177,77,167,87,508
GradDiff,1,2,per_layer,LR,1524,508,508,19,0.6181102362204725,0.6614173228346457,0.5748031496062992,0.6086956521739131,0.6614173228346457,0.6339622641509434,0.6631688263376527,168,86,146,108,508
GradDiff,1,2,per_layer,RF,1524,508,508,22,0.6062992125984252,0.6496062992125984,0.562992125984252,0.5978260869565217,0.6496062992125984,0.6226415094339622,0.6720658441316882,165,89,143,111,508
GradDiff,1,2,per_layer,AdaBoost,1524,508,508,31,0.6023622047244095,0.6062992125984252,0.5984251968503937,0.6015625,0.6062992125984252,0.6039215686274509,0.633238266476533,154,100,152,102,508
GradDiff,1,2,mid_band,LR,1524,508,508,,0.6692913385826772,0.7086614173228346,0.6299212598425197,0.656934306569343,0.7086614173228346,0.6818181818181818,0.7333064666129332,180,74,160,94,508
GradDiff,1,2,mid_band,RF,1524,508,508,,0.6259842519685039,0.6141732283464567,0.6377952755905512,0.6290322580645161,0.6141732283464567,0.6215139442231076,0.6506758013516026,156,98,162,92,508
