method,probe_quad,eval_type,clf,n_total,tp,fp,tn,fn,gibberish,precision,recall,f1,auc
RMU-LAT,method,mb,RF,1146,245,201,372,328,,0.5493,0.4276,0.4809,0.5455
RMU-LAT,method,vote,RF,1146,287,228,345,286,,0.5573,0.5009,0.5276,
RMU-LAT,method,avg,RF,1146,310,241,332,263,,0.5626,0.541,0.5516,0.5804
RMU-LAT,method,fl,RF,1146,227,178,395,346,,0.5605,0.3962,0.4642,0.5729
RMU-LAT,method,ib,RF,1146,250,214,359,323,,0.5388,0.4363,0.4822,0.5559
RMU-LAT,method,ibe,RF,1146,253,208,365,320,,0.5488,0.4415,0.4894,0.5558
RMU-LAT,method,eb,RF,1146,283,225,348,290,,0.5571,0.4939,0.5236,0.5628
RMU-LAT,method,pl,AdaBoost,1146,301,251,322,272,,0.5453,0.5253,0.5351,0.5656
RMU-LAT,method,mb,AdaBoost,1146,296,258,315,277,,0.5343,0.5166,0.5253,0.537
RMU-LAT,method,vote,AdaBoost,1146,315,244,329,258,,0.5635,0.5497,0.5565,
RMU-LAT,method,avg,AdaBoost,1146,331,266,307,242,,0.5544,0.5777,0.5658,0.5637
RMU-LAT,method,fl,AdaBoost,1146,280,239,334,293,,0.5395,0.4887,0.5128,0.5417
RMU-LAT,method,ib,AdaBoost,1146,273,229,344,300,,0.5438,0.4764,0.5079,0.5548
RMU-LAT,method,ibe,AdaBoost,1146,288,232,341,285,,0.5538,0.5026,0.527,0.5567
RMU-LAT,method,eb,AdaBoost,1146,288,243,330,285,,0.5424,0.5026,0.5217,0.5592
RMU-LAT,cross,pl,LR,1146,30,18,555,543,,0.625,0.0524,0.0966,0.5626
RMU-LAT,cross,mb,LR,1146,569,554,19,4,,0.5067,0.993,0.671,0.6641
RMU-LAT,cross,vote,LR,1146,279,181,392,294,,0.6065,0.4869,0.5402,
RMU-LAT,cross,avg,LR,1146,278,176,397,295,,0.6123,0.4852,0.5414,0.6225
RMU-LAT,cross,fl,LR,1146,507,394,179,66,,0.5627,0.8848,0.6879,0.6684
RMU-LAT,cross,ib,LR,1146,328,242,331,245,,0.5754,0.5724,0.5739,0.6112
RMU-LAT,cross,ibe,LR,1146,329,242,331,244,,0.5762,0.5742,0.5752,0.6112
RMU-LAT,cross,eb,LR,1146,503,402,171,70,,0.5558,0.8778,0.6806,0.6633
RMU-LAT,cross,pl,RF,1146,257,212,361,316,,0.548,0.4485,0.4933,0.5656
RMU-LAT,cross,mb,RF,1146,327,317,256,246,,0.5078,0.5707,0.5374,0.4982
RMU-LAT,cross,vote,RF,1146,344,280,293,229,,0.5513,0.6003,0.5748,
RMU-LAT,cross,avg,RF,1146,399,352,221,174,,0.5313,0.6963,0.6027,0.5585
RMU-LAT,cross,fl,RF,1146,334,320,253,239,,0.5107,0.5829,0.5444,0.4961
RMU-LAT,cross,ib,RF,1146,378,326,247,195,,0.5369,0.6597,0.592,0.5613
RMU-LAT,cross,ibe,RF,1146,365,328,245,208,,0.5267,0.637,0.5766,0.5579
RMU-LAT,cross,eb,RF,1146,254,224,349,319,,0.5314,0.4433,0.4833,0.5274
RMU-LAT,cross,pl,AdaBoost,1146,301,251,322,272,,0.5453,0.5253,0.5351,0.5656
RMU-LAT,cross,mb,AdaBoost,1146,174,155,418,399,,0.5289,0.3037,0.3858,0.5201
RMU-LAT,cross,vote,AdaBoost,1146,504,465,108,69,,0.5201,0.8796,0.6537,
RMU-LAT,cross,avg,AdaBoost,1146,375,347,226,198,,0.5194,0.6545,0.5792,0.5561
RMU-LAT,cross,fl,AdaBoost,1146,221,218,355,352,,0.5034,0.3857,0.4368,0.507
RMU-LAT,cross,ib,AdaBoost,1146,376,352,221,197,,0.5165,0.6562,0.578,0.5312
RMU-LAT,cross,ibe,AdaBoost,1146,378,359,214,195,,0.5129,0.6597,0.5771,0.5343
RMU-LAT,cross,eb,AdaBoost,1146,480,457,116,93,,0.5123,0.8377,0.6358,0.5425
RepNoise,N/A,gen,-,1146,25,22,44,42,1013,0.5319,0.0436,0.0806,
RepNoise,N/A,logit,-,1146,379,374,199,194,,0.5033,0.6614,0.5716,0.5114
RepNoise,base,pl,LR,1146,215,189,384,358,,0.5322,0.3752,0.4401,0.5194
RepNoise,base,mb,LR,1146,573,573,0,0,,0.5,1.0,0.6667,0.5246
RepNoise,base,vote,LR,1146,11,7,566,562,,0.6111,0.0192,0.0372,
RepNoise,base,avg,LR,1146,10,7,566,563,,0.5882,0.0175,0.0339,0.5177
RepNoise,base,fl,LR,1146,573,573,0,0,,0.5,1.0,0.6667,0.557
RepNoise,base,ib,LR,1146,81,45,528,492,,0.6429,0.1414,0.2318,0.5853
RepNoise,base,ibe,LR,1146,81,45,528,492,,0.6429,0.1414,0.2318,0.5853
RepNoise,base,eb,LR,1146,0,0,573,573,,0.0,0.0,0.0,0.5259
RepNoise,base,pl,RF,1146,102,77,496,471,,0.5698,0.178,0.2713,0.5256
RepNoise,base,mb,RF,1146,171,177,396,402,,0.4914,0.2984,0.3713,0.4912
RepNoise,base,vote,RF,1146,239,227,346,334,,0.5129,0.4171,0.4601,
RepNoise,base,avg,RF,1146,321,321,252,252,,0.5,0.5602,0.5284,0.505
RepNoise,base,fl,RF,1146,552,551,22,21,,0.5005,0.9634,0.6587,0.5015
RepNoise,base,ib,RF,1146,171,165,408,402,,0.5089,0.2984,0.3762,0.4949
RepNoise,base,ibe,RF,1146,129,126,447,444,,0.5059,0.2251,0.3116,0.4995
RepNoise,base,eb,RF,1146,413,425,148,160,,0.4928,0.7208,0.5854,0.4892
RepNoise,base,pl,AdaBoost,1146,515,519,54,58,,0.4981,0.8988,0.6409,0.4785
RepNoise,base,mb,AdaBoost,1146,444,425,148,129,,0.5109,0.7749,0.6158,0.5159
RepNoise,base,vote,AdaBoost,1146,569,568,5,4,,0.5004,0.993,0.6655,
RepNoise,base,avg,AdaBoost,1146,573,573,0,0,,0.5,1.0,0.6667,0.4737
RepNoise,base,fl,AdaBoost,1146,232,250,323,341,,0.4813,0.4049,0.4398,0.4809
RepNoise,base,ib,AdaBoost,1146,208,192,381,365,,0.52,0.363,0.4275,0.5321
RepNoise,base,ibe,AdaBoost,1146,187,173,400,386,,0.5194,0.3264,0.4009,0.5366
RepNoise,base,eb,AdaBoost,1146,2,1,572,571,,0.6667,0.0035,0.0069,0.4871
RepNoise,method,pl,LR,1146,313,224,349,260,,0.5829,0.5462,0.564,0.5949
RepNoise,method,mb,LR,1146,326,226,347,247,,0.5906,0.5689,0.5796,0.6133
RepNoise,method,vote,LR,1146,308,211,362,265,,0.5934,0.5375,0.5641,
RepNoise,method,avg,LR,1146,315,213,360,258,,0.5966,0.5497,0.5722,0.6195
RepNoise,method,fl,LR,1146,338,226,347,235,,0.5993,0.5899,0.5945,0.6268
RepNoise,method,ib,LR,1146,315,221,352,258,,0.5877,0.5497,0.5681,0.6139
RepNoise,method,ibe,LR,1146,315,221,352,258,,0.5877,0.5497,0.5681,0.6139
RepNoise,method,eb,LR,1146,313,223,350,260,,0.584,0.5462,0.5645,0.5896
RepNoise,method,pl,RF,1146,298,252,321,275,,0.5418,0.5201,0.5307,0.5759
RepNoise,method,mb,RF,1146,230,178,395,343,,0.5637,0.4014,0.4689,0.5722
RepNoise,method,vote,RF,1146,273,198,375,300,,0.5796,0.4764,0.523,
RepNoise,method,avg,RF,1146,287,212,361,286,,0.5752,0.5009,0.5354,0.5872
RepNoise,method,fl,RF,1146,231,171,402,342,,0.5746,0.4031,0.4738,0.57
RepNoise,method,ib,RF,1146,251,192,381,322,,0.5666,0.438,0.4941,0.5773
RepNoise,method,ibe,RF,1146,248,201,372,325,,0.5523,0.4328,0.4853,0.57
RepNoise,method,eb,RF,1146,224,190,383,349,,0.5411,0.3909,0.4539,0.5399
RepNoise,method,pl,AdaBoost,1146,294,261,312,279,,0.5297,0.5131,0.5213,0.5368
RepNoise,method,mb,AdaBoost,1146,288,254,319,285,,0.5314,0.5026,0.5166,0.5455
RepNoise,method,vote,AdaBoost,1146,292,229,344,281,,0.5605,0.5096,0.5338,
RepNoise,method,avg,AdaBoost,1146,298,224,349,275,,0.5709,0.5201,0.5443,0.5914
RepNoise,method,fl,AdaBoost,1146,312,239,334,261,,0.5662,0.5445,0.5552,0.5891
RepNoise,method,ib,AdaBoost,1146,274,209,364,299,,0.5673,0.4782,0.5189,0.5614
