model,clf,layer,mean_accuracy,std_accuracy,mean_true_accuracy,std_true_accuracy,mean_false_accuracy,std_false_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_auc,std_auc
ELM,RF,10,0.5665354330708661,0.025828692073790113,0.537007874015748,0.02757030141734109,0.5960629921259842,0.030250980649289032,0.5708408796640543,0.02777952747820799,0.537007874015748,0.02757030141734109,0.5533035793628704,0.026754874764852162,0.5934729369458739,0.02607512127383263
ELM,RF,11,0.562992125984252,0.012635280736914318,0.5275590551181102,0.03340661958361641,0.5984251968503937,0.017429876867069826,0.5675051525539712,0.011340468494023403,0.5275590551181102,0.03340661958361641,0.5464550498424429,0.022005803949567852,0.5907139314278629,0.006401017383348526
ELM,RF,12,0.5519685039370079,0.021799792440798587,0.5283464566929134,0.028866618550902935,0.5755905511811024,0.018533231962109962,0.5543025050116277,0.02220348181358784,0.5283464566929134,0.028866618550902935,0.5409464089174192,0.025296025340530198,0.5766414532829066,0.011753192634752309
ELM,RF,13,0.5574803149606299,0.011837241242813292,0.5291338582677165,0.0204724409448819,0.5858267716535434,0.015629474993133247,0.5608824420398889,0.012301526458509779,0.5291338582677165,0.0204724409448819,0.5444299793526594,0.015415032532573132,0.5714690929381859,0.016627525162581053
ELM,RF,14,0.5685039370078739,0.014216905578950988,0.526771653543307,0.019669285034325676,0.610236220472441,0.027389806505395426,0.5751030055150231,0.017383331436358982,0.526771653543307,0.019669285034325676,0.5496359721236449,0.014538782475760929,0.5915183830367661,0.01275151611727026
ELM,RF,15,0.5614173228346456,0.01571847620289535,0.5149606299212598,0.0334437174513312,0.6078740157480316,0.041336707868997444,0.5684250621896162,0.018625671936230877,0.5149606299212598,0.0334437174513312,0.5395899386857741,0.020669051227582398,0.5855601711203422,0.008469438769793738
ELM,RF,16,0.5535433070866141,0.012781640221061336,0.5236220472440944,0.00964366040465821,0.5834645669291338,0.022047244094488196,0.5572164076323316,0.014938082566121768,0.5236220472440944,0.00964366040465821,0.5398166254957655,0.010334515051245066,0.5728811457622915,0.023166641065784387
ELM,RF,17,0.5437007874015747,0.01571847620289538,0.5204724409448819,0.02992125984251968,0.5669291338582677,0.015349282432769996,0.545536906667663,0.015220868528086037,0.5204724409448819,0.02992125984251968,0.5325219878706284,0.02204176565349051,0.5749581499162999,0.013314511291411868
ELM,RF,18,0.5594488188976378,0.0038170707538711184,0.5385826771653544,0.025684262094960764,0.5803149606299213,0.0261862821233321,0.5622360574722975,0.005566572879949357,0.5385826771653544,0.025684262094960764,0.5497614235280597,0.012001462262419535,0.578751007502015,0.012336851018633745
ELM,RF,19,0.5421259842519686,0.021223357436131584,0.5086614173228347,0.03426780338108496,0.5755905511811024,0.013033815241926663,0.5446154490116151,0.02142760193694744,0.5086614173228347,0.03426780338108496,0.525890863365117,0.02805909897901783,0.5695098890197781,0.012226177448085018
ELM,RF,20,0.5582677165354331,0.021764212537142124,0.5362204724409448,0.03221617723697449,0.5803149606299213,0.02888808870526635,0.5610018233190844,0.022002498804288756,0.5362204724409448,0.03221617723697449,0.5480418683203692,0.024780739701690736,0.582977865955732,0.019558729579373994
ELM,RF,21,0.5401574803149607,0.011037673833760793,0.48976377952755906,0.035789978511381146,0.5905511811023623,0.01991985927665122,0.5442620568851618,0.010834443807157439,0.48976377952755906,0.035789978511381146,0.5151286374642792,0.02365124797670985,0.5614374728749458,0.012877688998956029
ELM,RF,22,0.5468503937007874,0.021792681107241033,0.5196850393700788,0.040303886274235375,0.5740157480314961,0.030536566030968996,0.5493078268341233,0.022489744615562177,0.5196850393700788,0.040303886274235375,0.5336062824881355,0.02963328446383066,0.5692804885609771,0.009306583904133133
ELM,RF,23,0.5547244094488188,0.012902338274152686,0.536220472440945,0.025196850393700794,0.573228346456693,0.029629744444451624,0.5570874818518049,0.013937338817596892,0.536220472440945,0.025196850393700794,0.5461098443631612,0.015738383293675107,0.5632866265732532,0.01522090022230251
ELM,RF,24,0.54251968503937,0.015529986553792157,0.4881889763779528,0.011135539861205477,0.5968503937007874,0.033369480473097776,0.5484280234785706,0.01963630331284926,0.4881889763779528,0.011135539861205477,0.5163108989724663,0.010146485761767072,0.5611119722239445,0.01702318282574835
