method,contrast,feature_mode,direction,question_set,quintile,n_questions,positive_rate,suppressed_rate,forgotten_rate,retained_rate,mean_projection_score,projection_score_min,projection_score_max
RMU,suppressed_vs_retained,correct_only,mean_difference,Qstar,1,113,0.2300884955752212,0.2300884955752212,0.0,0.7699115044247787,-0.9214246193602036,-2.3022808208161534,-0.4947919872097966
RMU,suppressed_vs_retained,correct_only,mean_difference,Qstar,2,112,0.2678571428571428,0.2678571428571428,0.0,0.7321428571428571,-0.2769545454626186,-0.4929350247321934,-0.1013679655299262
RMU,suppressed_vs_retained,correct_only,mean_difference,Qstar,3,112,0.4285714285714285,0.4285714285714285,0.0,0.5714285714285714,0.0803953537107365,-0.0980315619888471,0.2370399142526601
RMU,suppressed_vs_retained,correct_only,mean_difference,Qstar,4,112,0.3303571428571428,0.3303571428571428,0.0,0.6696428571428571,0.3763472775677509,0.241083994294629,0.5080718124459623
RMU,suppressed_vs_retained,correct_only,mean_difference,Qstar,5,113,0.2831858407079646,0.2831858407079646,0.0,0.7168141592920354,0.743227578551555,0.5162606204600602,1.471479461842134
RMU,suppressed_vs_rest,correct_only,mean_difference,Qstar,1,141,0.2198581560283688,0.2198581560283688,0.0780141843971631,0.5815602836879432,-0.3771388718285768,-1.6600314478938785,-0.0700476194710412
RMU,suppressed_vs_rest,correct_only,mean_difference,Qstar,2,292,0.25,0.25,0.0650684931506849,0.5445205479452054,-0.0030719299993778,-0.0694249907645316,0.0032958495815499
RMU,suppressed_vs_rest,correct_only,mean_difference,Qstar,3,128,0.28125,0.28125,0.046875,0.5234375,0.0846930957074052,0.0064571903229215,0.1646714559941651
RMU,suppressed_vs_rest,correct_only,mean_difference,Qstar,4,140,0.2357142857142857,0.2357142857142857,0.0571428571428571,0.5785714285714286,0.30880620169357,0.1649329879243166,0.8736490089849885
RMU,forgotten_vs_retained,correct_only,mean_difference,Qstar,1,87,0.0689655172413793,0.0,0.0689655172413793,0.9310344827586208,-1.1494990980794115,-2.0947469750276726,-0.7823221968232296
