model,checkpoint,fold,probe_type,classifier,probe_variant,remains,unlearned,emerged,never_known,total
ELM,ck8,single,ib_no_pca,RF,frozen_base,463,180,195,308,1146
ELM,ck8,single,ib_no_pca,RF,method_probe,502,141,143,360,1146
ELM,ck8,single,ib_no_pca,AdaBoost,frozen_base,459,161,138,388,1146
ELM,ck8,single,ib_no_pca,AdaBoost,method_probe,443,177,215,311,1146
RR,ck8,single,per_layer,LR,frozen_base,387,351,193,215,1146
RR,ck8,single,per_layer,LR,method_probe,479,259,188,220,1146
RR,ck8,single,per_layer,RF,frozen_base,392,335,191,228,1146
RR,ck8,single,per_layer,RF,method_probe,434,293,185,234,1146
RR,ck8,single,per_layer,AdaBoost,frozen_base,409,317,192,228,1146
RR,ck8,single,per_layer,AdaBoost,method_probe,422,304,210,210,1146
RR,ck8,single,mid_band,LR,frozen_base,470,319,157,200,1146
RR,ck8,single,mid_band,LR,method_probe,535,254,131,226,1146
RR,ck8,single,mid_band,RF,frozen_base,378,341,194,233,1146
RR,ck8,single,mid_band,RF,method_probe,385,334,216,211,1146
RR,ck8,single,mid_band,AdaBoost,frozen_base,388,329,210,219,1146
RR,ck8,single,mid_band,AdaBoost,method_probe,408,309,220,209,1146
RR,ck8,single,full_layer,LR,frozen_base,484,273,153,236,1146
RR,ck8,single,full_layer,LR,method_probe,538,219,134,255,1146
RR,ck8,single,full_layer,RF,frozen_base,348,361,231,206,1146
RR,ck8,single,full_layer,RF,method_probe,429,280,187,250,1146
RR,ck8,single,full_layer,AdaBoost,frozen_base,409,302,197,238,1146
RR,ck8,single,full_layer,AdaBoost,method_probe,416,295,209,226,1146
RR,ck8,single,init_band,LR,frozen_base,553,122,90,381,1146
RR,ck8,single,init_band,LR,method_probe,631,44,45,426,1146
RR,ck8,single,init_band,RF,frozen_base,440,190,182,334,1146
RR,ck8,single,init_band,RF,method_probe,403,227,223,293,1146
RR,ck8,single,init_band,AdaBoost,frozen_base,497,126,139,384,1146
RR,ck8,single,init_band,AdaBoost,method_probe,399,224,250,273,1146
RR,ck8,single,init_band_emb,LR,frozen_base,553,122,90,381,1146
RR,ck8,single,init_band_emb,LR,method_probe,631,44,45,426,1146
RR,ck8,single,init_band_emb,RF,frozen_base,440,190,187,329,1146
RR,ck8,single,init_band_emb,RF,method_probe,408,222,220,296,1146
RR,ck8,single,init_band_emb,AdaBoost,frozen_base,511,126,139,370,1146
RR,ck8,single,init_band_emb,AdaBoost,method_probe,386,251,263,246,1146
RR,ck8,single,end_band,LR,frozen_base,447,319,168,212,1146
RR,ck8,single,end_band,LR,method_probe,487,279,156,224,1146
RR,ck8,single,end_band,RF,frozen_base,379,321,193,253,1146
RR,ck8,single,end_band,RF,method_probe,401,299,236,210,1146
RR,ck8,single,end_band,AdaBoost,frozen_base,371,351,204,220,1146
RR,ck8,single,end_band,AdaBoost,method_probe,404,318,210,214,1146
RR,ck8,single,ib_no_pca,LR,frozen_base,547,82,94,423,1146
RR,ck8,single,ib_no_pca,LR,method_probe,585,44,63,454,1146
RR,ck8,single,ib_no_pca,RF,frozen_base,512,131,125,378,1146
RR,ck8,single,ib_no_pca,RF,method_probe,493,150,155,348,1146
RR,ck8,single,ib_no_pca,AdaBoost,frozen_base,505,115,118,408,1146
RR,ck8,single,ib_no_pca,AdaBoost,method_probe,406,214,217,309,1146
TAR,ck8,single,per_layer,LR,frozen_base,375,363,198,210,1146
TAR,ck8,single,per_layer,LR,method_probe,466,272,199,209,1146
TAR,ck8,single,per_layer,RF,frozen_base,346,381,225,194,1146
TAR,ck8,single,per_layer,RF,method_probe,436,291,206,213,1146
TAR,ck8,single,per_layer,AdaBoost,frozen_base,356,370,217,203,1146
TAR,ck8,single,per_layer,AdaBoost,method_probe,429,297,213,207,1146
TAR,ck8,single,mid_band,LR,frozen_base,461,328,156,201,1146
TAR,ck8,single,mid_band,LR,method_probe,542,247,130,227,1146
TAR,ck8,single,mid_band,RF,frozen_base,334,385,218,209,1146
TAR,ck8,single,mid_band,RF,method_probe,433,286,197,230,1146
TAR,ck8,single,mid_band,AdaBoost,frozen_base,358,359,220,209,1146
TAR,ck8,single,mid_band,AdaBoost,method_probe,419,298,219,210,1146
TAR,ck8,single,full_layer,LR,frozen_base,440,317,167,222,1146
TAR,ck8,single,full_layer,LR,method_probe,549,208,136,253,1146
TAR,ck8,single,full_layer,RF,frozen_base,331,378,226,211,1146
TAR,ck8,single,full_layer,RF,method_probe,439,270,219,218,1146
TAR,ck8,single,full_layer,AdaBoost,frozen_base,374,337,205,230,1146
TAR,ck8,single,full_layer,AdaBoost,method_probe,408,303,214,221,1146
TAR,ck8,single,init_band,LR,frozen_base,342,333,231,240,1146
TAR,ck8,single,init_band,LR,method_probe,561,114,123,348,1146
TAR,ck8,single,init_band,RF,frozen_base,276,354,289,227,1146
TAR,ck8,single,init_band,RF,method_probe,370,260,229,287,1146
TAR,ck8,single,init_band,AdaBoost,frozen_base,307,316,273,250,1146
TAR,ck8,single,init_band,AdaBoost,method_probe,366,257,243,280,1146
TAR,ck8,single,init_band_emb,LR,frozen_base,342,333,231,240,1146
TAR,ck8,single,init_band_emb,LR,method_probe,561,114,123,348,1146
TAR,ck8,single,init_band_emb,RF,frozen_base,278,352,285,231,1146
TAR,ck8,single,init_band_emb,RF,method_probe,368,262,227,289,1146
TAR,ck8,single,init_band_emb,AdaBoost,frozen_base,286,351,287,222,1146
TAR,ck8,single,init_band_emb,AdaBoost,method_probe,367,270,237,272,1146
TAR,ck8,single,end_band,LR,frozen_base,423,343,156,224,1146
